2016/2017,2018,SCS1203,1
17000017,C+,,
17000025,B+,,
17000033,C+,,
17000041,A,,
17000051,B+,,
17000068,B+,,
17000076,A-,,
17000084,B,,
17000092,C,,
17000106,A,,
17000114,C,,
17000122,D,,
17000132,B,,
17000149,B+,,
17000157,B+,,
17000165,B,,
17000173,C+,,
17000181,A-,,
17000191,A-,,
17000203,B-,,
17000211,B,,
17000221,B+,,
17000238,B-,,
17000246,D,,
17000254,B+,,
17000262,B+,,
17000272,B+,,
17000289,B+,,
17000297,B+,,
17000302,C+,,
17000319,C,,
17000327,A-,,
17000335,F,,
17000343,A-,,
17000351,A-,,
17000361,A,,
17000378,B,,
17000386,F,,
17000394,A,,
17000408,B-,,
17000416,B+,,
17000424,B,,
17000432,F,,
17000442,A-,,
17000459,B,,
17000467,B,,
17000475,A,,
17000483,A,,
17000491,C+,,
17000505,C+,,
17000513,B,,
17000521,A-,,
17000531,B+,,
17000548,A,,
17000556,C+,,
17000564,A,,
17000572,B-,,
17000582,B+,,
17000599,B,,
17000602,B-,,
17000612,B+,,
17000629,B+,,
17000637,C,,
17000645,B,,
17000653,C+,,
17000661,A-,,
17000671,B+,,
17000688,B,,
17000696,B+,,
17000701,B-,,
17000718,F,,
17000726,B-,,
17000734,B+,,
17000742,B+,,
17000752,B,,
17000769,B+,,
17000777,B+,,
17000785,C+,,
17000793,B,,
17000807,A-,,
17000815,B-,,
17000823,B+,,
17000831,B,,
17000841,A-,,
17000858,B+,,
17000866,A,,
17000874,A-,,
17000882,B+,,
17000892,B-,,
17000904,F,,
17000912,A,,
17000922,B+,,
17000939,B+,,
17000947,A-,,
17000955,C,,
17000963,A,,
17000971,B-,,
17000981,B,,
17000998,A-,,
17001005,E,,
17001013,B,,
17001021,F,,
17001031,A,,
17001048,D,,
17001056,B,,
17001064,C-,,
17001072,A,,
17001082,A-,,
17001099,B+,,
17001102,A,,
17001112,A-,,
17001129,A,,
17001137,B,,
17001145,B-,,
17001153,B+,,
17001161,A-,,
17001171,C,,
17001188,A-,,
17001196,B+,,
17001201,B+,,
17001218,F,,
17001226,B+,,
17001234,B-,,
17001242,B+,,
17001252,B+,,
17001269,B+,,
17001277,B,,
17001285,A,,
17001293,B+,,
17001307,B-,,
17001315,A-,,
17001323,A,,
17001331,B+,,
17001341,B,,
17001358,C,,
17001366,B,,
17001374,A-,,
17001382,A,,
17001392,F,,
17001404,A-,,
17001412,D+,,
17001422,C,,
17001439,B-,,
17001447,B,,
17001455,C+,,
17001463,A-,,
17001471,A-,,
17001481,C+,,
17001498,A-,,
17001501,A-,,
17001511,A-,,
17001528,B,,
17001536,F,,
17001544,C+,,
17001552,B,,
17001562,B,,
17001579,C,,
17001587,B-,,
17001595,B+,,
17001609,B,,
17001617,B+,,
17001625,A,,
17001633,A-,,
17001641,B+,,
17001651,A-,,
17001668,D+,,
17001676,B+,,
17001684,B+,,
17001692,B-,,
17001706,B-,,
17001714,C+,,
17001722,A,,
17001732,B-,,
17001749,A,,
17001757,A-,,
17001765,B,,
17001773,A-,,
17001781,B+,,
17001791,B,,
17001803,B+,,
17001811,B,,
17001821,C+,,
17001838,A-,,
17001846,F,,
17001854,B-,,
17001862,B+,,
17001872,B+,,
17001889,B+,,
17001897,B,,
17001902,B,,
17001919,B+,,
17001927,A,,
17001935,A-,,
17001943,A,,
17001951,A,,
17001961,B,,
17001978,B,,
17001986,C,,
17001994,B+,,
